time,demand
01-01-2019 01:00:00,"2,114.967"
01-01-2019 02:00:00,"1,908.349"
01-01-2019 03:00:00,"1,753.759"
01-01-2019 04:00:00,"1,655.315"
01-01-2019 05:00:00,"1,600.000"
01-01-2019 06:00:00,"1,738.810"
01-01-2019 07:00:00,"1,714.230"
01-01-2019 08:00:00,"1,694.775"
01-01-2019 09:00:00,"1,806.165"
01-01-2019 10:00:00,"2,006.173"
01-01-2019 11:00:00,"2,228.368"
01-01-2019 12:00:00,"2,490.000"
01-01-2019 13:00:00,"2,458.000"
01-01-2019 14:00:00,"2,438.628"
01-01-2019 15:00:00,"2,461.363"
01-01-2019 16:00:00,"2,485.641"
01-01-2019 17:00:00,"2,639.345"
01-01-2019 18:00:00,"2,935.000"
01-01-2019 19:00:00,"2,840.881"
01-01-2019 20:00:00,"2,720.276"
01-01-2019 21:00:00,"2,657.921"
01-01-2019 22:00:00,"2,574.073"
01-01-2019 23:00:00,"2,425.643"
01-01-2019 00:00:00,"2,210.570"
02-01-2019 01:00:00,"1,980.263"
02-01-2019 02:00:00,"1,789.085"
02-01-2019 03:00:00,"1,635.540"
02-01-2019 04:00:00,"1,530.000"
02-01-2019 05:00:00,"1,592.234"
02-01-2019 06:00:00,"1,804.913"
02-01-2019 07:00:00,"2,006.913"
02-01-2019 08:00:00,"2,130.081"
02-01-2019 09:00:00,"2,227.536"
02-01-2019 10:00:00,"2,290.174"
02-01-2019 11:00:00,"2,398.936"
02-01-2019 12:00:00,"2,521.956"
02-01-2019 13:00:00,"2,594.582"
02-01-2019 14:00:00,"2,680.000"
02-01-2019 15:00:00,"2,696.375"
02-01-2019 16:00:00,"2,748.832"
02-01-2019 17:00:00,"2,923.840"
02-01-2019 18:00:00,"3,120.000"
02-01-2019 19:00:00,"2,975.886"
02-01-2019 20:00:00,"2,832.059"
02-01-2019 21:00:00,"2,755.677"
02-01-2019 22:00:00,"2,654.456"
02-01-2019 23:00:00,"2,493.550"
02-01-2019 00:00:00,"2,256.034"
03-01-2019 01:00:00,"1,993.240"
03-01-2019 02:00:00,"1,784.929"
03-01-2019 03:00:00,"1,655.058"
03-01-2019 04:00:00,"1,570.000"
03-01-2019 05:00:00,"1,620.365"
03-01-2019 06:00:00,"1,842.914"
03-01-2019 07:00:00,"2,020.215"
03-01-2019 08:00:00,"2,181.862"
03-01-2019 09:00:00,"2,295.652"
03-01-2019 10:00:00,"2,394.568"
03-01-2019 11:00:00,"2,528.597"
03-01-2019 12:00:00,"2,634.102"
03-01-2019 13:00:00,"2,662.579"
03-01-2019 14:00:00,"2,680.000"
03-01-2019 15:00:00,"2,659.730"
03-01-2019 16:00:00,"2,667.032"
03-01-2019 17:00:00,"2,784.671"
03-01-2019 18:00:00,"3,040.000"
03-01-2019 19:00:00,"2,918.313"
03-01-2019 20:00:00,"2,754.383"
03-01-2019 21:00:00,"2,671.536"
03-01-2019 22:00:00,"2,587.019"
03-01-2019 23:00:00,"2,496.965"
03-01-2019 00:00:00,"2,307.910"
04-01-2019 01:00:00,"2,100.390"
04-01-2019 02:00:00,"1,883.233"
04-01-2019 03:00:00,"1,715.322"
04-01-2019 04:00:00,"1,634.580"
04-01-2019 05:00:00,"1,626.532"
04-01-2019 06:00:00,"1,735.148"
04-01-2019 07:00:00,"1,685.820"
04-01-2019 08:00:00,"1,585.000"
04-01-2019 09:00:00,"1,693.595"
04-01-2019 10:00:00,"1,907.881"
04-01-2019 11:00:00,"2,201.790"
04-01-2019 12:00:00,"2,480.000"
04-01-2019 13:00:00,"2,371.328"
04-01-2019 14:00:00,"2,276.251"
04-01-2019 15:00:00,"2,229.834"
04-01-2019 16:00:00,"2,263.652"
04-01-2019 17:00:00,"2,415.022"
04-01-2019 18:00:00,"2,770.000"
04-01-2019 19:00:00,"2,682.915"
04-01-2019 20:00:00,"2,562.788"
04-01-2019 21:00:00,"2,501.218"
04-01-2019 22:00:00,"2,468.204"
04-01-2019 23:00:00,"2,373.530"
04-01-2019 00:00:00,"2,215.938"
05-01-2019 01:00:00,"1,999.150"
05-01-2019 02:00:00,"1,790.034"
05-01-2019 03:00:00,"1,641.433"
05-01-2019 04:00:00,"1,510.000"
05-01-2019 05:00:00,"1,559.916"
05-01-2019 06:00:00,"1,703.957"
05-01-2019 07:00:00,"1,773.149"
05-01-2019 08:00:00,"1,855.683"
05-01-2019 09:00:00,"2,013.488"
05-01-2019 10:00:00,"2,187.707"
05-01-2019 11:00:00,"2,350.165"
05-01-2019 12:00:00,"2,485.844"
05-01-2019 13:00:00,"2,554.031"
05-01-2019 14:00:00,"2,650.000"
05-01-2019 15:00:00,"2,663.490"
05-01-2019 16:00:00,"2,688.415"
05-01-2019 17:00:00,"2,810.629"
05-01-2019 18:00:00,"3,090.000"
05-01-2019 19:00:00,"2,981.112"
05-01-2019 20:00:00,"2,863.318"
05-01-2019 21:00:00,"2,786.969"
05-01-2019 22:00:00,"2,686.019"
05-01-2019 23:00:00,"2,537.421"
05-01-2019 00:00:00,"2,296.289"
06-01-2019 01:00:00,"2,026.982"
06-01-2019 02:00:00,"1,814.422"
06-01-2019 03:00:00,"1,672.898"
06-01-2019 04:00:00,"1,570.000"
06-01-2019 05:00:00,"1,645.020"
06-01-2019 06:00:00,"1,871.887"
06-01-2019 07:00:00,"2,071.302"
06-01-2019 08:00:00,"2,236.669"
06-01-2019 09:00:00,"2,356.974"
06-01-2019 10:00:00,"2,488.092"
06-01-2019 11:00:00,"2,640.508"
06-01-2019 12:00:00,"2,709.269"
06-01-2019 13:00:00,"2,811.906"
06-01-2019 14:00:00,"2,850.000"
06-01-2019 15:00:00,"2,926.028"
06-01-2019 16:00:00,"2,996.119"
06-01-2019 17:00:00,"3,089.357"
06-01-2019 18:00:00,"3,260.000"
06-01-2019 19:00:00,"3,067.760"
06-01-2019 20:00:00,"2,943.106"
06-01-2019 21:00:00,"2,863.756"
06-01-2019 22:00:00,"2,763.943"
06-01-2019 23:00:00,"2,570.402"
06-01-2019 00:00:00,"2,332.179"
07-01-2019 01:00:00,"2,065.116"
07-01-2019 02:00:00,"1,857.924"
07-01-2019 03:00:00,"1,735.875"
07-01-2019 04:00:00,"1,625.000"
07-01-2019 05:00:00,"1,699.831"
07-01-2019 06:00:00,"1,915.036"
07-01-2019 07:00:00,"2,104.814"
07-01-2019 08:00:00,"2,248.965"
07-01-2019 09:00:00,"2,388.618"
07-01-2019 10:00:00,"2,515.755"
07-01-2019 11:00:00,"2,657.866"
07-01-2019 12:00:00,"2,840.000"
07-01-2019 13:00:00,"2,827.163"
07-01-2019 14:00:00,"2,823.740"
07-01-2019 15:00:00,"2,897.210"
07-01-2019 16:00:00,"2,924.842"
07-01-2019 17:00:00,"3,007.844"
07-01-2019 18:00:00,"3,260.000"
07-01-2019 19:00:00,"3,113.774"
07-01-2019 20:00:00,"2,965.089"
07-01-2019 21:00:00,"2,895.395"
07-01-2019 22:00:00,"2,805.109"
07-01-2019 23:00:00,"2,613.602"
07-01-2019 00:00:00,"2,361.369"
08-01-2019 01:00:00,"2,099.294"
08-01-2019 02:00:00,"1,869.345"
08-01-2019 03:00:00,"1,745.549"
08-01-2019 04:00:00,"1,640.000"
08-01-2019 05:00:00,"1,703.460"
08-01-2019 06:00:00,"1,922.428"
08-01-2019 07:00:00,"2,102.986"
08-01-2019 08:00:00,"2,243.667"
08-01-2019 09:00:00,"2,405.953"
08-01-2019 10:00:00,"2,532.349"
08-01-2019 11:00:00,"2,692.385"
08-01-2019 12:00:00,"2,848.209"
08-01-2019 13:00:00,"2,975.039"
08-01-2019 14:00:00,"3,080.000"
08-01-2019 15:00:00,"3,121.055"
08-01-2019 16:00:00,"3,084.875"
08-01-2019 17:00:00,"3,131.558"
08-01-2019 18:00:00,"3,330.000"
08-01-2019 19:00:00,"3,146.542"
08-01-2019 20:00:00,"3,014.738"
08-01-2019 21:00:00,"2,935.152"
08-01-2019 22:00:00,"2,823.401"
08-01-2019 23:00:00,"2,658.714"
08-01-2019 00:00:00,"2,403.939"
09-01-2019 01:00:00,"2,140.916"
09-01-2019 02:00:00,"1,932.482"
09-01-2019 03:00:00,"1,788.597"
09-01-2019 04:00:00,"1,670.000"
09-01-2019 05:00:00,"1,740.106"
09-01-2019 06:00:00,"1,912.990"
09-01-2019 07:00:00,"2,019.998"
09-01-2019 08:00:00,"2,193.628"
09-01-2019 09:00:00,"2,477.928"
09-01-2019 10:00:00,"2,648.804"
09-01-2019 11:00:00,"2,859.712"
09-01-2019 12:00:00,"3,106.864"
09-01-2019 13:00:00,"3,250.000"
09-01-2019 14:00:00,"3,185.146"
09-01-2019 15:00:00,"3,242.810"
09-01-2019 16:00:00,"3,243.394"
09-01-2019 17:00:00,"3,270.958"
09-01-2019 18:00:00,"3,380.000"
09-01-2019 19:00:00,"3,203.676"
09-01-2019 20:00:00,"3,052.612"
09-01-2019 21:00:00,"2,964.160"
09-01-2019 22:00:00,"2,845.054"
09-01-2019 23:00:00,"2,672.673"
09-01-2019 00:00:00,"2,465.955"
10-01-2019 01:00:00,"2,181.606"
10-01-2019 02:00:00,"1,951.691"
10-01-2019 03:00:00,"1,775.974"
10-01-2019 04:00:00,"1,630.000"
10-01-2019 05:00:00,"1,699.653"
10-01-2019 06:00:00,"1,892.331"
10-01-2019 07:00:00,"2,047.503"
10-01-2019 08:00:00,"2,227.556"
10-01-2019 09:00:00,"2,405.883"
10-01-2019 10:00:00,"2,525.554"
10-01-2019 11:00:00,"2,646.806"
10-01-2019 12:00:00,"2,820.000"
10-01-2019 13:00:00,"2,808.795"
10-01-2019 14:00:00,"2,794.002"
10-01-2019 15:00:00,"2,785.229"
10-01-2019 16:00:00,"2,780.548"
10-01-2019 17:00:00,"2,835.237"
10-01-2019 18:00:00,"3,140.000"
10-01-2019 19:00:00,"3,047.496"
10-01-2019 20:00:00,"2,900.620"
10-01-2019 21:00:00,"2,802.634"
10-01-2019 22:00:00,"2,711.807"
10-01-2019 23:00:00,"2,588.204"
10-01-2019 00:00:00,"2,436.345"
11-01-2019 01:00:00,"2,202.585"
11-01-2019 02:00:00,"1,965.916"
11-01-2019 03:00:00,"1,779.492"
11-01-2019 04:00:00,"1,678.224"
11-01-2019 05:00:00,"1,660.247"
11-01-2019 06:00:00,"1,773.266"
11-01-2019 07:00:00,"1,722.769"
11-01-2019 08:00:00,"1,580.000"
11-01-2019 09:00:00,"1,711.662"
11-01-2019 10:00:00,"1,945.700"
11-01-2019 11:00:00,"2,261.132"
11-01-2019 12:00:00,"2,570.000"
11-01-2019 13:00:00,"2,525.863"
11-01-2019 14:00:00,"2,440.430"
11-01-2019 15:00:00,"2,409.922"
11-01-2019 16:00:00,"2,441.839"
11-01-2019 17:00:00,"2,524.454"
11-01-2019 18:00:00,"2,870.000"
11-01-2019 19:00:00,"2,750.971"
11-01-2019 20:00:00,"2,647.643"
11-01-2019 21:00:00,"2,601.915"
11-01-2019 22:00:00,"2,562.410"
11-01-2019 23:00:00,"2,456.752"
11-01-2019 00:00:00,"2,289.272"
12-01-2019 01:00:00,"2,052.933"
12-01-2019 02:00:00,"1,851.962"
12-01-2019 03:00:00,"1,706.980"
12-01-2019 04:00:00,"1,560.000"
12-01-2019 05:00:00,"1,626.254"
12-01-2019 06:00:00,"1,788.606"
12-01-2019 07:00:00,"1,845.018"
12-01-2019 08:00:00,"1,925.051"
12-01-2019 09:00:00,"2,096.545"
12-01-2019 10:00:00,"2,288.925"
12-01-2019 11:00:00,"2,438.261"
12-01-2019 12:00:00,"2,552.241"
12-01-2019 13:00:00,"2,568.955"
12-01-2019 14:00:00,"2,585.766"
12-01-2019 15:00:00,"2,612.587"
12-01-2019 16:00:00,"2,700.000"
12-01-2019 17:00:00,"2,811.203"
12-01-2019 18:00:00,"3,110.000"
12-01-2019 19:00:00,"3,041.298"
12-01-2019 20:00:00,"2,900.207"
12-01-2019 21:00:00,"2,821.673"
12-01-2019 22:00:00,"2,736.966"
12-01-2019 23:00:00,"2,583.180"
12-01-2019 00:00:00,"2,349.422"
13-01-2019 01:00:00,"2,103.832"
13-01-2019 02:00:00,"1,883.438"
13-01-2019 03:00:00,"1,745.615"
13-01-2019 04:00:00,"1,620.000"
13-01-2019 05:00:00,"1,667.635"
13-01-2019 06:00:00,"1,861.629"
13-01-2019 07:00:00,"1,967.539"
13-01-2019 08:00:00,"2,110.193"
13-01-2019 09:00:00,"2,289.583"
13-01-2019 10:00:00,"2,421.151"
13-01-2019 11:00:00,"2,488.890"
13-01-2019 12:00:00,"2,611.869"
13-01-2019 13:00:00,"2,681.062"
13-01-2019 14:00:00,"2,720.000"
13-01-2019 15:00:00,"2,773.044"
13-01-2019 16:00:00,"2,813.048"
13-01-2019 17:00:00,"2,906.863"
13-01-2019 18:00:00,"3,170.000"
13-01-2019 19:00:00,"3,058.829"
13-01-2019 20:00:00,"2,913.900"
13-01-2019 21:00:00,"2,845.640"
13-01-2019 22:00:00,"2,732.843"
