time,demand
01-01-2019 01,2114.97
01-01-2019 02,1908.35
01-01-2019 03,1753.76
01-01-2019 04,1655.32
01-01-2019 05,1600.00
01-01-2019 06,1738.81
01-01-2019 07,1714.23
01-01-2019 08,1694.77
01-01-2019 09,1806.16
01-01-2019 10,2006.17
01-01-2019 11,2228.37
01-01-2019 12,2490.00
01-01-2019 13,2458.00
01-01-2019 14,2438.63
01-01-2019 15,2461.36
01-01-2019 16,2485.64
01-01-2019 17,2639.35
01-01-2019 18,2935.00
01-01-2019 19,2840.88
01-01-2019 20,2720.28
01-01-2019 21,2657.92
01-01-2019 22,2574.07
01-01-2019 23,2425.64
01-01-2019 00,2210.57
02-01-2019 01,1980.26
02-01-2019 02,1789.08
02-01-2019 03,1635.54
02-01-2019 04,1530.00
02-01-2019 05,1592.23
02-01-2019 06,1804.91
02-01-2019 07,2006.91
02-01-2019 08,2130.08
02-01-2019 09,2227.54
02-01-2019 10,2290.17
02-01-2019 11,2398.94
02-01-2019 12,2521.96
02-01-2019 13,2594.58
02-01-2019 14,2680.00
02-01-2019 15,2696.38
02-01-2019 16,2748.83
02-01-2019 17,2923.84
02-01-2019 18,3120.00
02-01-2019 19,2975.89
02-01-2019 20,2832.06
02-01-2019 21,2755.68
02-01-2019 22,2654.46
02-01-2019 23,2493.55
02-01-2019 00,2256.03
03-01-2019 01,1993.24
03-01-2019 02,1784.93
03-01-2019 03,1655.06
03-01-2019 04,1570.00
03-01-2019 05,1620.36
03-01-2019 06,1842.91
03-01-2019 07,2020.22
03-01-2019 08,2181.86
03-01-2019 09,2295.65
03-01-2019 10,2394.57
03-01-2019 11,2528.60
03-01-2019 12,2634.10
03-01-2019 13,2662.58
03-01-2019 14,2680.00
03-01-2019 15,2659.73
03-01-2019 16,2667.03
03-01-2019 17,2784.67
03-01-2019 18,3040.00
03-01-2019 19,2918.31
03-01-2019 20,2754.38
03-01-2019 21,2671.54
03-01-2019 22,2587.02
03-01-2019 23,2496.96
03-01-2019 00,2307.91
04-01-2019 01,2100.39
04-01-2019 02,1883.23
04-01-2019 03,1715.32
04-01-2019 04,1634.58
04-01-2019 05,1626.53
04-01-2019 06,1735.15
04-01-2019 07,1685.82
04-01-2019 08,1585.00
04-01-2019 09,1693.60
04-01-2019 10,1907.88
