Date,Temp
01/01/2019,15.98
02/01/2019,13.96
03/01/2019,12.19
04/01/2019,16.68
05/01/2019,14.33
06/01/2019,10.37
07/01/2019,10.19
08/01/2019,11.12
09/01/2019,9.33
10/01/2019,11.83
11/01/2019,13.5
12/01/2019,16.35
13/01/2019,12.71
14/01/2019,9.52
15/01/2019,14.62
16/01/2019,10.96
17/01/2019,10.88
18/01/2019,11.86
19/01/2019,12.71
20/01/2019,13.92
21/01/2019,17.15
22/01/2019,17.55
23/01/2019,15.84
24/01/2019,19.94
25/01/2019,17.03
26/01/2019,20.68
27/01/2019,19.08
28/01/2019,9.02
29/01/2019,15.62
30/01/2019,17.51
31/01/2019,14.87
01/02/2019,14.95
02/02/2019,15.95
03/02/2019,17.31
04/02/2019,18.01
05/02/2019,18.55
06/02/2019,16.02
07/02/2019,16.17
08/02/2019,15.43
09/02/2019,12.69
10/02/2019,11.57
11/02/2019,12.65
12/02/2019,14.95
13/02/2019,17.97
14/02/2019,14.76
15/02/2019,10.92
16/02/2019,11.08
17/02/2019,12.24
18/02/2019,10.36
19/02/2019,12.97
20/02/2019,14.45
21/02/2019,14.82
22/02/2019,15.05
23/02/2019,15.23
24/02/2019,17.49
25/02/2019,22.09
26/02/2019,18.55
27/02/2019,13.38
28/02/2019,8.94
01/03/2019,11.68
02/03/2019,11.53
03/03/2019,14.79
04/03/2019,14.26
05/03/2019,15.25
06/03/2019,17.53
07/03/2019,14.91
08/03/2019,16.96
09/03/2019,19.59
10/03/2019,18.78
11/03/2019,18.44
12/03/2019,21.98
13/03/2019,23.1
14/03/2019,10.7
15/03/2019,16.72
16/03/2019,11.76
17/03/2019,14.64
18/03/2019,19.44
19/03/2019,23.74
20/03/2019,23.29
21/03/2019,22.07
22/03/2019,21.48
23/03/2019,21.27
24/03/2019,18.35
25/03/2019,11.1
26/03/2019,16.35
27/03/2019,16.03
28/03/2019,19.18
29/03/2019,20.66
30/03/2019,16.73
31/03/2019,12.19
01/04/2019,13.56
02/04/2019,16.36
03/04/2019,19.44
04/04/2019,21.58
05/04/2019,19.17
06/04/2019,22.4
07/04/2019,25.45
08/04/2019,24.94
09/04/2019,24.93
10/04/2019,20.08
11/04/2019,21.29
12/04/2019,24.03
13/04/2019,27.84
14/04/2019,21.84
15/04/2019,20.67
16/04/2019,20.54
17/04/2019,18.8
18/04/2019,18.65
19/04/2019,16.9
20/04/2019,17.96
21/04/2019,12.65
22/04/2019,15.58
23/04/2019,20.15
24/04/2019,24.47
25/04/2019,26.29
26/04/2019,26.28
27/04/2019,27.54
28/04/2019,27.73
29/04/2019,30.41
30/04/2019,29.16
01/05/2019,30.44
02/05/2019,29.83
03/05/2019,27.4
04/05/2019,25.27
05/05/2019,30.94
06/05/2019,34.83
07/05/2019,24.95
08/05/2019,22.55
09/05/2019,21.18
10/05/2019,22.84
11/05/2019,28.3
12/05/2019,32.15
13/05/2019,33.69
14/05/2019,36.29
15/05/2019,37.64
16/05/2019,34.4
17/05/2019,36.44
18/05/2019,28.84
19/05/2019,29.02
20/05/2019,32.31
21/05/2019,34.9
22/05/2019,36.67
23/05/2019,37.96
24/05/2019,39.96
25/05/2019,33.41
26/05/2019,32.55
27/05/2019,34.2
28/05/2019,36.87
29/05/2019,39.3
30/05/2019,39.87
31/05/2019,40.12
01/06/2019,36.58
02/06/2019,36.05
03/06/2019,38.32
04/06/2019,37.49
05/06/2019,37.01
06/06/2019,37.29
07/06/2019,36.12
08/06/2019,36.19
09/06/2019,32.15
10/06/2019,33.34
11/06/2019,34.47
12/06/2019,33.44
13/06/2019,30.1
14/06/2019,30.75
15/06/2019,32.55
16/06/2019,33.15
17/06/2019,32.08
18/06/2019,32.36
19/06/2019,32.44
20/06/2019,33.46
21/06/2019,34.02
22/06/2019,32.81
23/06/2019,35.8
24/06/2019,39.45
25/06/2019,41.83
26/06/2019,38.76
27/06/2019,36.24
28/06/2019,34.69
29/06/2019,33.86
30/06/2019,34.61
01/07/2019,34.84
02/07/2019,33.23
03/07/2019,33.62
04/07/2019,35.73
05/07/2019,35.8
06/07/2019,35.15
07/07/2019,35.27
08/07/2019,34.42
